type,crimeTitle,description,neighborhood_id
reprehenderit,aut minima,Ipsa mollitia incidunt non quo qui. Numquam esse sit reprehenderit magni omnis provident. Suscipit vero mollitia veniam amet.,3
deserunt repellat mollitia,qui porro animi,Dolorum corrupti reprehenderit. Velit perspiciatis aliquid laboriosam.,1
sed odit,voluptas earum ea et,Consectetur velit alias consequuntur optio. Eum dolore ab non mollitia assumenda. Soluta voluptas molestias ad exercitationem neque ducimus dignissimos dolorem et. Quos voluptas maiores qui aut.,1
quidem,doloremque maxime maxime sunt,Quod aperiam cupiditate ipsa ut accusamus unde. Consequuntur et voluptatum corrupti expedita recusandae expedita aperiam iure. Nihil tempora et minus nam dicta dolores harum nobis.,2
quod nobis similique,recusandae nobis exercitationem,Amet et et.,3
voluptates quibusdam et,sit nulla ad pariatur,Quo facere id voluptatem est omnis rerum.,3
consequatur qui,consequatur qui quaerat vel,Veniam assumenda porro. Fugit sed fuga.,0
minima quaerat,dolor voluptas autem qui,Debitis explicabo voluptas praesentium labore ad suscipit possimus iusto. Sed sed porro voluptatem. Possimus vero consequatur beatae eos. Omnis neque qui molestiae tenetur rerum iure.,2
ducimus,aliquam omnis voluptas,Hic facere repudiandae dolores ut ea quae quis. Asperiores nihil autem similique fuga sunt. Aut dolorum sequi saepe optio modi fugit suscipit omnis.,2
sit culpa maxime,dolore inventore,Est et quis autem harum est recusandae. In officia quas aut iure et et.,2
